Event,Date,Status,Tickets Sold,Tickets Available
Out in Tech DC | Fall Social,"Wednesday, September 26, 2018 6:00 PM",Past,87,513
Out in Tech Portland // October Social,"Tuesday, October 2, 2018 6:00 PM",Past,59,41
Out in Tech SF | Womxn to the front: an evening with queer leaders in vc,"Thursday, October 11, 2018 6:00 PM",Past,271,99
Out in Tech New York | Thriving! Is HealthTech the Cure?,"Thursday, October 11, 2018 6:00 PM",Past,633,187
Out in Tech PDX | Sharing is Queering: Sharing economy & LGBTQ+ community,"Thursday, October 11, 2018 6:00 PM",Past,77,23
"Out in Tech NYC | Trans, GNC, Nonbinary, and Genderqueer Ventures @Slack","Tuesday, October 16, 2018 6:30 PM",Past,85,215
Out in Tech SF | Demos & Drinks,"Thursday, October 18, 2018 6:00 PM",Past,59,81
Out in Tech DC | Happy Hour at Nellie's! ,"Wednesday, October 24, 2018 6:00 PM",Past,129,96
Out in Tech London | Demos + Drinks at Microsoft Reactor,"Thursday, October 25, 2018 6:00 PM",Past,230,220
Out in Tech LA | Ethically Automated,"Thursday, October 25, 2018 6:00 PM",Past,208,182
Journey of an Entrepreneur: A Woman's Perspective,"Tuesday, October 30, 2018 6:30 PM",Past,39,41
"Out in Tech DC | Trans, GNC, Nonbinary, and Genderqueer Ventures at Google","Thursday, November 1, 2018 6:30 PM",Past,120,135
Out in Tech PDX | November Social,"Tuesday, November 6, 2018 6:00 PM",Past,63,37
Out in Tech New York | Fall Social,"Wednesday, November 7, 2018 6:30 PM",Past,706,694
Out in Tech ATX | Demos & Drinks,"Thursday, November 8, 2018 6:00 PM",Past,67,258
Out in Tech CHI | proTECHct yourself,"Wednesday, November 14, 2018 6:00 PM",Past,132,258
An Evening with Out in Tech,"Wednesday, November 14, 2018 7:00 PM",Past,139,11
Out in Tech Boston | School's Out: EdTech & Marginalized Communities,"Thursday, November 15, 2018 6:00 PM",Past,79,296
OIT LDN | Levelling Up: Pride in Gaming,"Wednesday, November 21, 2018 6:00 PM",Past,195,255
Out in Tech CHI | Fall Social @ Sidetrack,"Thursday, November 29, 2018 6:00 PM",Past,86,914
Out in Tech PDX | December Social,"Tuesday, December 4, 2018 6:00 PM",Past,80,20
Out in Tech NY | (Block)chain Reaction,"Wednesday, December 5, 2018 6:00 PM",Past,363,22
Out in Tech LA | Holiday Social @ Akbar,"Sunday, December 9, 2018 4:00 PM",Past,170,1230
Out in Tech PDX | Working #OutHere,"Wednesday, December 12, 2018 6:00 PM",Past,86,114
Out in Tech SF | Holiday Social @ El Rio,"Sunday, December 16, 2018 4:00 PM",Past,905,495
Out in Tech NY | The Trek to Tech,"Wednesday, January 16, 2019 6:00 PM",Past,400,52
Out in Tech PDX | January Social,"Monday, January 21, 2019 6:00 PM",Past,97,3
Out in Tech DC | Ethics of AI,"Wednesday, January 23, 2019 6:30 PM",Past,262,68
Out in Tech PDX | Demos and Drinks,"Wednesday, January 30, 2019 6:00 PM",Past,132,168
Out in Tech New York | Winter Social,"Wednesday, January 30, 2019 6:30 PM",Past,1187,213
Out in Tech London | Winter Social,"Thursday, January 31, 2019 7:00 PM",Past,185,1215
Out in Tech PDX | February Social,"Tuesday, February 5, 2019 6:00 PM",Past,58,42
Out in Tech BOS | Building Community,"Wednesday, February 6, 2019 6:30 PM",Past,174,221
Out in Tech LA | Bliss Out,"Thursday, February 7, 2019 6:00 PM",Past,258,72
Out in Tech CHI | You Betta Werk!,"Tuesday, February 12, 2019 6:00 PM",Past,133,167
Out in Tech NY | Tech-nically Dating,"Wednesday, February 13, 2019 6:30 PM",Past,436,46
Out in Tech U | The Phluid Project,"Wednesday, February 20, 2019 6:00 PM",Past,50,145
Out in Tech LDN | Coming Out Over the Years,"Thursday, February 21, 2019 7:00 PM",Past,257,78
Out in Tech ATX | Working #OutHere,"Tuesday, February 26, 2019 6:15 PM",Past,210,105
